state,month,width
NM,3,284.0
NM,4,40.0
NM,5,53.18181818181818
NM,6,42.0
NM,7,29.0
NM,8,50.0
NM,9,93.75
NM,10,10.0
NM,11,55.0
NM,12,100.0
NY,1,0.0
NY,2,0.0
NY,3,0.0
NY,4,137.5
NY,5,177.875
NY,6,80.0
NY,7,290.625
NY,8,114.07142857142856
NY,9,62.5
NY,10,115.0
NY,11,65.0
NY,12,0.0
OH,1,200.0
OH,2,216.66666666666663
OH,3,138.0
OH,4,133.39285714285714
OH,5,212.3684210526316
OH,6,136.68
OH,7,141.66666666666666
OH,8,86.66666666666667
OH,9,150.0
OH,10,65.0
OH,11,131.625
OH,12,85.0
OK,1,130.0
OK,2,199.47368421052633
OK,3,268.94736842105266
OK,4,383.2236842105263
OK,5,330.61181434599155
OK,6,103.1875
OK,7,167.5
OK,8,300.0
OK,9,258.6734693877551
OK,10,217.3469387755102
OK,11,274.75
OK,12,210.0
PA,1,400.0
PA,2,308.0
PA,3,241.77777777777777
PA,4,175.55555555555554
PA,5,118.75
PA,6,160.0
PA,7,114.16666666666669
PA,8,179.41176470588235
PA,9,173.88888888888889
PA,10,156.89655172413794
PA,11,108.33333333333331
PA,12,108.33333333333331
SC,1,279.44444444444446
SC,2,84.16666666666667
SC,3,103.125
SC,4,222.33870967741936
SC,5,167.5
SC,6,41.66666666666666
SC,7,71.66666666666667
SC,8,70.71428571428571
SC,9,77.5
SC,10,102.70833333333331
SC,11,150.0
SC,12,75.0
SD,1,0.0
SD,2,0.0
SD,3,0.0
SD,4,0.0
SD,5,66.25
SD,6,95.175
SD,7,127.29032258064515
SD,8,54.5
SD,9,48.46153846153846
SD,10,22.857142857142858
SD,11,0.0
SD,12,0.0
TN,1,79.0
TN,2,147.72727272727272
TN,3,187.43589743589743
TN,4,251.92307692307693
TN,5,88.03571428571429
TN,6,85.55555555555556
TN,7,122.72727272727272
TN,8,59.44444444444444
TN,9,38.75
TN,10,154.16666666666666
TN,11,229.44444444444449
TN,12,227.22222222222223
TX,1,157.23684210526315
TX,2,181.4705882352941
TX,3,212.6265060240964
TX,4,235.0780141843972
TX,5,202.1628664495114
TX,6,84.33333333333333
TX,7,34.714285714285715
TX,8,45.51724137931034
TX,9,100.0
TX,10,175.62264150943398
TX,11,140.37037037037038
TX,12,237.7
VA,1,150.0
VA,2,317.5
VA,3,200.0
VA,4,145.33333333333334
VA,5,124.0
VA,6,62.5
VA,7,73.0
VA,8,123.61111111111111
VA,9,103.84615384615384
VA,10,146.66666666666666
VA,11,300.0
VA,12,175.0
WI,1,0.0
WI,2,0.0
WI,3,160.0
WI,4,100.0
WI,5,256.6666666666667
WI,6,88.48571428571428
WI,7,87.26984126984127
WI,8,121.02173913043478
WI,9,215.0
WI,10,76.25
WI,11,0.0
WI,12,102.22222222222224
WY,1,0.0
WY,2,0.0
WY,3,0.0
WY,4,20.0
WY,5,147.14285714285714
WY,6,141.96428571428572
WY,7,189.54545454545453
WY,8,138.33333333333334
WY,9,250.0
WY,10,0.0
WY,11,0.0
WY,12,0.0
